bank_description,ledger_narration,bank_date,ledger_date,bank_amount,ledger_amount,label,label_text,notes
OFC RENT JAN 2024,Office Rent January 2024,2024-01-01,2024-01-01,75000.0,75000.0,1,matched,
IRCTC TICKET,IRCTC Train Ticket Booking,2024-02-10,2024-02-11,1845.0,1845.0,2,possible_match,requires human review
Advance to Employee Raj,Advance to Employee Ram,2024-02-10,2024-02-10,10000.0,10000.0,0,unmatched,
MSEB Electricity Bill,MSEB Security Deposit,2024-01-15,2024-01-15,8700.0,8700.0,0,unmatched,
LIC Insurance Premium,LIC Insurance Premium,2024-03-15,2024-03-15,45000.0,22500.0,0,unmatched,
HDFC BANK CC BILL JAN,HDFC Credit Card Bill January,2024-01-28,2024-01-28,23400.0,23400.0,1,matched,
TATA CONSULTANCY SERV,Tata Consultancy Services,2024-02-20,2024-02-20,350000.0,350000.0,1,matched,
Miscellaneous Income,Miscellaneous Expense,2024-02-28,2024-02-28,1200.0,1200.0,0,unmatched,
IMPS/9000221/RENT FEB 2024,Rent Payment February 2024,2024-02-01,2024-02-01,75000.0,75000.0,1,matched,
LIC PREMIUM Q4,LIC Insurance Premium Q4,2024-03-15,2024-03-15,45000.0,45000.0,1,matched,
Opening Balance Transfer,Closing Balance Adjustment,2024-01-01,2024-01-01,500000.0,500000.0,0,unmatched,
Office Rent February,Office Rent January,2024-02-01,2024-01-01,75000.0,75000.0,0,unmatched,
CITI BANK LOAN EMI,Citibank Loan EMI,2024-01-10,2024-01-10,32000.0,32000.0,1,matched,
Flipkart Seller Payout,Amazon Seller Fees,2024-01-08,2024-01-08,18500.0,18500.0,0,unmatched,
Rent Payment February,Advance Payment February,2024-02-01,2024-02-01,75000.0,50000.0,0,unmatched,
TDS DEDUCTION FEB,TDS Deducted February,2024-02-20,2024-02-20,15000.0,15000.0,1,matched,
Staff Salary March,Staff Bonus March,2024-03-01,2024-03-01,420000.0,50000.0,0,unmatched,
Salary Payment February,Salary Payment February,2024-02-01,2024-02-01,350000.0,350000.0,1,matched,
MTNL BROADBAND,MTNL Broadband Internet,2024-01-20,2024-01-20,1199.0,1199.0,1,matched,
TXN ID 99012 HDFC Loan EMI,HDFC Loan EMI,2024-01-05,2024-01-05,25000.0,25000.0,1,matched,
UPI/DR/AMAZON/SELLER/9988776655,Amazon Seller Fees,2024-01-12,2024-01-12,530.0,530.0,1,matched,
Razorpay Settl.,Razorpay Settlement,2024-02-14,2024-02-16,62000.0,62000.0,2,possible_match,requires human review
NACH/EMI/BAJAJ FINANCE/MARCH,Bajaj Finance EMI March,2024-03-05,2024-03-05,18200.0,18200.0,1,matched,
ACH/PAYROLL/MARCH/STAFF SAL,Staff Salary March Payroll,2024-03-01,2024-03-01,420000.0,420000.0,1,matched,
wipro limited payment,Wipro Limited,2024-03-01,2024-03-01,175000.0,175000.0,1,matched,
AXIS BANK CC PAYMENT,Axis Bank Credit Card Payment,2024-02-28,2024-03-01,18900.0,18900.0,1,matched,
BAJAJ FIN EMI,Bajaj Finance EMI March,2024-03-05,2024-03-06,18200.0,18200.0,2,possible_match,requires human review
QUICKBOOKS INTUIT,QuickBooks Accounting Software,2024-01-01,2024-01-01,3200.0,3200.0,1,matched,
Razorpay Settlement,Razorpay Settlement,2024-02-14,2024-02-20,62000.0,62000.0,0,unmatched,
Infosys Technologies Ltd,Infosys BPO Ltd,2024-02-15,2024-02-15,200000.0,180000.0,0,unmatched,
